反応集男（高め）, つまりジーターには勝てるとでも？ 
反応集男（遅め）, 松井がもしプロテインやってたら歴史は変わってたろうね 
反応集男, ホセ・カンセコ「メジャーリーガー85%が薬物を使ってます、ワグワイアとジオンビーは目の前で使ってました」 
反応集女, 長嶋に指導されてなけければもっと早くから活躍した気がする 
反応集男（渋め）, 東京ドームの天井を貫いているけどな、貫いたのは今をもって松井と大谷のみ  天井に当てたのは近鉄時代のブライアントとヤクルト村上、村上はライトフライでアウトに成った 
反応集男（高め）, 1年目の松井って本塁打16本しか打てなかったのが衝撃的だった 
反応集男（遅め）, バーニー・ウィリアムズは? 
反応集男, 全員メジャーの選手か、  じゃあやっぱり国内には敵はいないと  思ってたんだな 
反応集女, >>65  勝手な想像だが石川で魚ばっか食べてせいぜい焼肉だからアレルギーとかでやめたんじゃないのか  プロテインは今でもいいんだろ  大谷みたいなロボットはとか主食とか言ってるし 
反応集男（渋め）, >>69  高卒ルーキーで16本って相当だぞ  しかじゃねーよアホ助 
反応集男（高め）, なに？今日ここでジャップの集会あるの？まずいんじゃない？異様だよ、向こうから見ると 
反応集男（遅め）, >>58   焼き肉   https://youtu.be/QUBo1ecAp4Y 
反応集男, >>8  一番過小評価は黒田  あれだけ頑丈なのは異常 
反応集女, >>36  松井がファンやったAV女優見たら偽乳でガッカリした 
反応集男（渋め）, 日本球界での話かと思ったらｗ  他の奴なら敵うとでも思ってたのか  どんだけツラの皮厚いんだこの人はｗ 
反応集男（高め）, >>73  メジャー1年目の話だろ・・・  NPB1年目に松井は16HRも打ってない 
反応集男（遅め）, やっぱ大谷は噛みすぎる大リーグでもno1の飛距離  三冠王だけでなくチーム貢献度でも完全に村上様は上回ったな 
反応集男, 大魔神は、みんな射ってたとか言ってたよな 
反応集女, >>24  数年はシェフィールドともほぼ同じだったような　日本人でそんな選手出るとは思わなかった   OPS十位以内に入ったアジア人は松井と大谷だけ 
反応集男（渋め）, >>70  ウィリアムはホームランバッターではなかったからね  打撃スタイルは松井と同じだったけど 
反応集男（高め）, 過小評価してるのはおまエラだけだよ  このスレで上がってる選手どいつもこいつもレジェンドやんけ  どこで過小評価されてんだ？  ん？ん？  おまエラだけや  バカタレ 
反応集男（遅め）, >>73  そいつが言ってるのは、メジャー１年目の話だよｗ  ＮＰＢでは１１本  ま、清原がどれだけ化け物だったかの話だけどな 
反応集男, ジーターには勝てると 
反応集女, >>13  言っていることは一貫しているし、正直に言っても卑下したような感じはなくて、余裕があるというか、この辺が他人の信頼を得ている要因なんだろうな。 
反応集男（渋め）, スピードとテクニックで2004年ア・リーグWAR1位のイチローってやはり凄いよな  まだ日本時代からボンズがイチローを評価してたからな 
反応集男（高め）, 松井の高卒1年目は200打席くらいしか立っとらんだろ  10本打ちゃモンスターだよそんなもん 
反応集男（遅め）, Aロッドの次任されるくらいにはベンチの信頼は得てだんだろう。  エロ歩かせても次松井だぞ、長打あるぞと。  で、ワンポイント左当てられるんだけど左全く苦にしないし。 
反応集男, 全世界で3人って意味かい 
反応集女, >>3  これをオブラートに包んで隠してるもんな  その3人がいなきゃホームランバッター目指してたかもだし 
反応集男（渋め）, Aロッドと吉田は打音とか打球の感じが似てるんだよな  落合も言ってたけど、ホームランはボールのちょい下を巻き上げるように撃つと入る  ジャストミートだとライナーでフェンスに当たる 
反応集男（高め）, 松井よりパワーあったやつは全員ステロイダーってことか 
反応集男（遅め）, クスリカルテット 
反応集男, >>89  のむさんがリサーチの一環で高津に打ち頃投げさせたら初ホームラン  そこから量産してたな  あれなかったらどうだろ 
反応集女, 松井はメジャーに行ってから自分は中距離ヒッターだとよく言ってたからなあ、絶対に敵わない連中がいて挫折したんだろうけどちゃんとメジャーでもアジャストしてよくやったよ 
反応集男（渋め）, >>13  その3人を挙げると裏の意味を含ませてる様に見えちゃうな 
反応集男（高め）, 松井は守備が良ければもっとヤンキースにいられたのになあ 
反応集男（遅め）, 吉田は舐めすぎやろほんとにwbcでるんか 
