反応集男（遅め）, 若年層を中心に  ほんとかよ  中年のギーグオタクじゃないの 
反応集男, >>5  農村戸籍をタダ同然使うというからくりが  すっぽり抜けていませんか 
反応集女, 東芝のパソコン事業は、シャープに売り渡したし 
反応集男（渋め）, >>20  対象チャンネルと、時間帯を選べる。  基本、朝、夜だけにしてる。 
反応集男（高め）, 昔から下は有能で上が無能なのが日本組織の特徴だと言われてたからな  外資から労働者は守らなきゃならないが  経営者はむしろドンドン切らないと 
反応集男（遅め）, 東芝から離れて品質はどうなった？ 
反応集男, >>4   オリオンがあるぞ。 
反応集女, >>7  それって東芝の技術を吸い上げられんだよね。 
反応集男（渋め）, >>79  テレビはテレビ見る為ではなく、最近はデカいモニターだもんな。 
反応集男（高め）, >>87  技術者そのまま雇ってるからリストラしてた東芝時代より良くなってるかも 
反応集男（遅め）, >>87  テレビ部門を売ったのは東芝側だけどね。 
反応集男, >>82  正確には鴻海に売却。  鴻海の子会社がシャープ、孫会社が元東芝パソ部門。 
反応集女, 東芝って書いてあるのにハイセンスなの？ 
反応集男（渋め）, 中国人は、商売がうまい。 
反応集男（高め）, ゼロ金利下でも  投資も賃上げもせず、無駄な内部留保積み上げるしか脳のない日本の無能経営者 
反応集男（遅め）, 真面目に東芝やってるのはエアコンと照明だけ 
反応集男, 未だにREGZAとかに囚われてる奴ｗ  いまはHisenseとLGでいいっしょ 
反応集女, TCLもいいかしんない 
反応集男（渋め）," 24型でもREGZAの V は、小型テレビの中ではコスパ良い。Sシリーズは少し安いだけで画質ガタ落ち。  スマートテレビでYouTube ネトフリ ABEMA アマprimeも見れて、外付けHDD(SSD)対応の連携も良い。    日立 三菱電機 JVCケンウッド NECは家庭用テレビから撤退してるし  Pana SONY あの韓LGでさえ もう42型未満は相手にせず４K８Kに経営資源を全振りしてるから、小型テレビの選択肢は  諸出し中国メーカーTCLとHisense そしてオリオン(ドウシシャ) フナイ(ヤマダ)以外だと、SHARPと東芝REGZAしかない。  SHARPは小型ではスマートテレビやってないし、低価格帯は横から見ると白く画面が霞む。   REGZA24Vは 楽天スーパーセールで 27,500円で買い Rポイント2600Pもゲトした。  中国製だが、ヨドバシ亀やビック亀にたむろしてた東芝の人に聞くと、HisenseにはREGZAの映像エンジンは使わせないし部品の共有化も どうでも良いガワとか以外はされてない という。  まぁHisenseも昔よりは画質は良くはなったが。 "
反応集男（高め）, >>10  東芝は日本人からみても駄目だろってなって中国に身売りした経緯があるじゃん 
反応集男（遅め）, >>95  エアコン→東芝ライフスタイル→中国マイディア（美的）に売却  照明→東芝ライテック→一般家庭向けは中国NVC（雷士）に譲渡 
